sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
26.754,['note_on'],[0],[62],[63],mp,0,1,0,0,0,0
26.881,['note_on'],[0],[65],[82],mf,1,1,0,0,0,0
26.998,['note_on'],[0],[71],[84],mf,1,1,0,0,0,0
27.147,['note_on'],[0],[53],[61],p,0,1,0,0,"[124, 106, 84, 60, 1, 0]",0
27.247,['note_on'],[0],[56],[72],mp,0,1,0,0,"[14, 28, 42, 56, 65, 74]",0
27.367,['note_on'],[0],[62],[65],mp,0,1,0,0,"[84, 90, 98, 104, 112, 120, 127]",0
27.512,['note_on'],[0],[65],[78],mf,1,1,0,0,0,0
27.628,['note_on'],[0],[71],[78],mf,1,1,0,0,0,0
27.761,['note_on'],[0],[62],[69],mp,0,1,0,0,0,0
27.884,['note_on'],[0],[65],[73],mp,0,1,0,0,0,0
27.986,['note_on'],[0],[71],[84],mf,1,1,0,0,0,0
28.129,['note_on'],[0],[52],[63],mp,0,1,0,0,"[124, 108, 90, 66, 14, 0]",0
28.233,['note_on'],[0],[55],[67],mp,0,1,0,0,2,0
28.376,['note_on'],[0],[60],[61],p,0,1,0,0,"[14, 26, 36, 48, 58, 65, 74, 82, 90, 96, 104, 112, 120, 127]",0
28.5,['note_on'],[0],[67],[71],mp,0,1,0,0,0,0
28.628,['note_on'],[0],[72],[60],p,0,1,0,0,0,0
28.75,['note_on'],[0],[60],[56],p,0,1,0,0,0,0
28.876,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
28.992,['note_on'],[0],[72],[71],mp,0,1,0,0,0,0
29.145,['note_on'],[0],[52],[61],p,0,1,0,0,"[122, 108, 90, 46, 18, 0]",0
29.249,['note_on'],[0],[55],[61],p,0,1,0,0,"[1, 10, 20, 30, 42, 54, 64]",0
29.39,['note_on'],[0],[60],[60],p,0,1,0,0,"[72, 82, 90, 98, 108, 116, 126, 127]",0
29.521,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
29.65,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
29.775,['note_on'],[0],[60],[56],p,0,1,0,0,0,0
29.903,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
30.029,['note_on'],[0],[72],[63],mp,0,1,0,0,0,0
30.16,['note_on'],[0],[52],[57],p,0,1,0,0,"[122, 106, 86, 65, 16, 0]",0
30.267,['note_on'],[0],[53],[53],p,0,1,0,0,4,0
30.383,['note_on'],[0],[57],[65],mp,0,1,0,0,"[16, 28, 40, 52, 60, 68, 76, 82, 90, 96, 104, 112, 122, 127]",0
30.517,['note_on'],[0],[60],[53],p,0,1,0,0,0,0
30.64,['note_on'],[0],[65],[59],p,0,1,0,0,0,0
30.779,['note_on'],[0],[57],[55],p,0,1,0,0,0,0
30.907,['note_on'],[0],[60],[57],p,0,1,0,0,0,0
31.033,['note_on'],[0],[65],[55],p,0,1,0,0,0,0
31.167,['note_on'],[0],[52],[61],p,0,1,0,0,"[118, 98, 76, 50, 20, 0]",0
31.269,['note_on'],[0],[53],[57],p,0,1,0,0,"[2, 14, 26, 36, 50, 60, 68, 78]",0
31.39,['note_on'],[0],[57],[52],p,0,1,0,0,"[86, 92, 100, 108, 116, 124, 127]",0
31.517,['note_on'],[0],[60],[56],p,0,1,0,0,0,0
31.627,['note_on'],[0],[65],[61],p,0,1,0,0,0,0
31.795,['note_on'],[0],[57],[55],p,0,1,0,0,0,0
31.908,['note_on'],[0],[60],[59],p,0,1,0,0,0,0
32.027,['note_on'],[0],[65],[57],p,0,1,0,0,0,0
32.144,['note_on'],[0],[50],[65],mp,0,1,0,0,"[110, 58, 0]",0
32.25,['note_on'],[0],[53],[60],p,0,1,0,0,"[4, 16, 28, 38, 50, 58, 66]",0
32.381,['note_on'],[0],[57],[60],p,0,1,0,0,"[74, 86, 92, 100, 112, 122, 127]",0
32.487,['note_on'],[0],[60],[56],p,0,1,0,0,0,0
32.608,['note_on'],[0],[65],[67],mp,0,1,0,0,0,0
32.712,['note_on'],[0],[57],[60],p,0,1,0,0,0,0
32.841,['note_on'],[0],[60],[57],p,0,1,0,0,0,0
32.967,['note_on'],[0],[65],[56],p,0,1,0,0,0,0
33.142,['note_on'],[0],[50],[56],p,0,1,0,0,"[114, 96, 74, 46, 0]",0
33.245,['note_on'],[0],[53],[57],p,0,1,0,0,"[2, 12, 34]",0
33.364,['note_on'],[0],[57],[61],p,0,1,0,0,"[44, 56, 62, 70, 78, 86, 94, 100, 108, 116, 124, 127]",0
33.497,['note_on'],[0],[60],[56],p,0,1,0,0,0,0
33.626,['note_on'],[0],[65],[61],p,0,1,0,0,0,0
33.769,['note_on'],[0],[57],[55],p,0,1,0,0,0,0
33.894,['note_on'],[0],[60],[59],p,0,1,0,0,0,0
34.028,['note_on'],[0],[65],[56],p,0,1,0,0,0,0
34.149,['note_on'],[0],[43],[57],p,0,1,0,0,"[122, 104, 84, 32, 0]",0
34.253,['note_on'],[0],[50],[57],p,0,1,0,0,"[6, 16, 24]",0
34.393,['note_on'],[0],[55],[65],mp,0,1,0,0,"[34, 40, 52, 58, 65, 72, 80, 86, 94, 100, 108, 116, 124, 127]",0
